Category,iPhone,iPad,iPod,Mac,Total
Q4/98,,,,0.944,0.944
Q1/99,,,,0.827,0.827
Q2/99,,,,0.905,0.905
Q3/99,,,,0.772,0.772
Q4/99,,,,1.377,1.377
Q1/00,,,,1.043,1.043
Q2/00,,,,1.016,1.016
Q3/00,,,,1.122,1.122
Q4/00,,,,0.659,0.659
Q1/01,,,,0.751,0.751
Q2/01,,,,0.827,0.827
Q3/01,,,,0.85,0.85
Q4/01,,,0.125,0.746,0.871
Q1/02,,,0.062,0.813,0.875
Q2/02,,,0.054,0.808,0.862
Q3/02,,,0.14,0.734,0.874
Q4/02,,,0.219,0.743,0.962
Q1/03,,,0.08,0.711,0.791
Q2/03,,,0.304,0.771,1.075
Q3/03,,,0.336,0.787,1.123
Q4/03,,,0.733,0.829,1.562
Q1/04,,,0.807,0.749,1.556
Q2/04,,,0.86,0.876,1.736
Q3/04,,,2.016,0.836,2.852
Q4/04,,,4.58,1.046,5.626
Q1/05,,,5.311,1.07,6.381
Q2/05,,,6.155,1.182,7.337
Q3/05,,,6.451,1.236,7.687
Q4/05,,,14.043,1.254,15.297
Q1/06,,,8.526,1.112,9.638
Q2/06,,,8.111,1.327,9.438
Q3/06,,,8.729,1.61,10.339
Q4/06,,,21.066,1.606,22.672
Q1/07,,,10.549,1.517,12.066
Q2/07,0.27,,9.815,1.764,11.849
Q3/07,1.119,,10.2,2.164,13.483
Q4/07,2.315,,22.121,2.319,26.755
Q1/08,1.703,,10.644,2.289,14.636
Q2/08,0.717,,11.011,2.496,14.224
Q3/08,6.892,,11.052,2.611,20.555
Q4/08,4.363,,22.727,2.524,29.614
Q1/09,3.793,,11.013,2.216,17.022
Q2/09,5.208,,10.215,2.603,18.026
Q3/09,7.367,,10.177,3.053,20.597
Q4/09,8.737,,20.97,3.362,33.069
Q1/10,8.752,,10.885,2.943,22.58
Q2/10,8.398,3.27,9.406,3.472,24.546
Q3/10,14.102,4.188,9.051,3.885,31.226
Q4/10,16.235,7.331,19.446,4.134,47.146
Q1/11,18.647,4.694,9.017,3.76,36.118
Q2/11,20.338,9.246,7.535,3.947,41.066
Q3/11,17.073,11.123,6.622,4.894,39.712
Q4/11,37.044,15.434,15.397,5.198,73.073
Q1/12,35.064,11.798,7.673,4.017,58.552
Q2/12,26.028,17.042,6.751,4.02,53.841
Q3/12,26.91,14.036,5.344,4.923,51.213
Q4/12,47.789,22.86,12.679,4.061,87.389
Q1/13,37.43,19.477,5.633,3.952,66.492
Q2/13,31.241,14.617,4.569,3.754,54.181
Q3/13,33.797,14.079,3.498,4.574,55.948
Q4/13,51.025,26.035,6.049,4.837,87.946
Q1/14,43.719,16.35,2.761,4.136,66.966
Q2/14,35.203,13.276,2.926,4.413,55.818
Q3/14,39.272,12.316,2.641,5.52,59.749
Q4/14,74.468,21.419,,5.519,101.406
Q1/15,61.17,12.623,,4.563,78.356
Q2/15,47.534,10.931,,4.796,63.261
Q3/15,48.046,9.883,,5.709,63.638
Q4/15,74.779,16.122,,5.312,96.213
Q1/16,51.193,10.251,,4.034,65.478
Q2/16,40.399,9.95,,4.252,54.601
