Category,iPhone,iPad,iPod,Mac,Services,Other products,Peripherals,Software,Music,Total
Q4/98,,,,1.443,,,0.134,0.133,,1.71
Q1/99,,,,1.26,,,0.135,0.135,,1.53
Q2/99,,,,1.294,,,0.132,0.132,,1.558
Q3/99,,,,1.085,,,0.126,0.125,,1.336
Q4/99,,,,2.065,,,0.139,0.139,,2.343
Q1/00,,,,1.652,,,0.147,0.146,,1.945
Q2/00,,,,1.545,,,0.14,0.14,,1.825
Q3/00,,,,1.604,,,0.133,0.133,,1.87
Q4/00,,,,0.776,,,0.119,0.112,,1.007
Q1/01,,,,1.2,,,0.106,0.125,,1.431
Q2/01,,,,1.225,,,0.124,0.126,,1.475
Q3/01,,,,1.202,,,0.128,0.12,,1.45
Q4/01,,,0.046,1.071,,,0.134,0.124,,1.375
Q1/02,,,0.022,1.209,,,0.131,0.133,,1.495
Q2/02,,,0.022,1.16,,,0.126,0.121,,1.429
Q3/02,,,0.053,1.094,,,0.14,0.156,,1.443
Q4/02,,,0.081,1.099,,,0.137,0.155,,1.472
Q1/03,,,0.031,1.099,,,0.185,0.16,,1.475
Q2/03,,,0.111,1.094,,,0.168,0.16,0.012,1.545
Q3/03,,,0.121,1.2,,,0.208,0.172,0.014,1.715
Q4/03,,,0.256,1.269,,,0.222,0.212,0.047,2.006
Q1/04,,,0.264,1.16,,,0.238,0.187,0.06,1.909
Q2/04,,,0.249,1.263,,,0.219,0.21,0.073,2.014
Q3/04,,,0.537,1.231,,,0.271,0.213,0.098,2.35
Q4/04,,,1.211,1.605,,,0.284,0.213,0.177,3.49
Q1/05,,,1.014,1.494,,,0.28,0.239,0.216,3.243
Q2/05,,,1.103,1.565,,,0.266,0.345,0.241,3.52
Q3/05,,,1.212,1.611,,,0.296,0.294,0.265,3.678
Q4/05,,,2.906,1.724,,,0.303,0.325,0.491,5.749
Q1/06,,,1.714,1.572,,,0.264,0.324,0.485,4.359
Q2/06,,,1.497,1.866,,,0.236,0.314,0.457,4.37
Q3/06,,,1.559,2.213,,,0.297,0.316,0.452,4.837
Q4/06,,,3.427,2.417,,,0.297,0.348,0.634,7.123
Q1/07,,,1.689,2.271,,,0.328,0.345,0.653,5.286
Q2/07,0.141,,1.57,2.533,,,0.325,0.386,0.608,5.563
Q3/07,0.489,,1.619,3.115,,,0.353,0.429,0.601,6.606
Q4/07,1.036,,3.997,3.57,,,0.391,0.628,0.808,10.43
Q1/08,0.817,,1.818,3.511,,,0.424,0.529,0.881,7.98
Q2/08,0.483,,1.678,3.634,,,0.446,0.501,0.819,7.561
Q3/08,4.406,,1.66,3.639,,,0.433,0.55,0.832,11.52
Q4/08,2.94,,3.371,3.565,,,0.387,0.606,1.011,11.88
Q1/09,2.427,,1.665,2.96,,,0.357,0.626,1.049,9.084
Q2/09,3.06,,1.492,3.354,,,0.34,0.53,0.958,9.734
Q3/09,4.606,,1.563,3.98,,,0.391,0.649,1.018,12.207
Q4/09,5.578,,3.391,4.45,,,0.469,0.631,1.164,15.683
Q1/10,5.445,,1.861,3.76,,,0.472,0.634,1.327,13.499
Q2/10,5.334,2.166,1.545,4.399,,,0.396,0.646,1.214,15.7
Q3/10,8.822,2.792,1.477,4.87,,,0.477,0.662,1.243,20.343
Q4/10,10.239,4.37,3.425,5.43,2.147,1.13,,,,26.741
Q1/11,12.053,2.633,1.6,4.976,2.384,1.021,,,,24.667
Q2/11,13.102,5.603,1.325,5.105,2.338,1.098,,,,28.571
Q3/11,10.604,6.562,1.103,6.272,2.504,1.225,,,,28.27
Q4/11,23.95,8.769,,6.598,3.02,3.996,,,,46.333
Q1/12,22.276,6.264,,5.073,3.171,2.402,,,,39.186
Q2/12,15.821,8.779,,4.933,3.203,2.287,,,,35.023
Q3/12,16.645,7.133,,6.617,3.496,2.075,,,,35.966
Q4/12,30.66,10.674,,5.519,3.687,3.972,,,,54.512
Q1/13,22.955,8.746,,5.447,4.114,2.341,,,,43.603
Q2/13,18.154,6.374,,4.893,3.99,1.912,,,,35.323
Q3/13,19.51,6.186,,5.624,4.26,1.892,,,,37.472
Q4/13,32.498,11.468,,6.395,4.397,2.836,,,,57.594
Q1/14,26.064,7.61,,5.519,4.573,1.88,,,,45.646
Q2/14,19.751,5.889,,5.54,4.485,1.767,,,,37.432
Q3/14,23.678,5.316,,6.625,4.608,1.896,,,,42.123
Q4/14,51.182,8.985,,6.944,4.799,2.689,,,,74.599
Q1/15,40.282,5.428,,5.615,4.996,1.689,,,,58.01
Q2/15,31.368,4.538,,6.03,5.028,2.641,,,,49.605
Q3/15,32.209,4.276,,6.882,5.086,3.048,,,,51.501
Q4/15,51.635,7.084,,6.746,6.056,4.351,,,,75.872
Q1/16,32.857,4.413,,5.107,5.991,2.189,,,,50.557
Q2/16,24.048,4.876,,5.239,5.976,2.219,,,,42.358
